tri,libelle_sexe,npop,annee,prev,top,dept,region,patho_niv2,libelle_classe_age,ntop,sexe,patho_niv1,niveau_prioritaire,cla_age_5,patho_niv3
22.0,tous sexes,66230,2016,5.98,CAN_AUT_CAT,77,11,Autres cancers,de 65 à 69 ans,3960,9,Cancers,2,65-69,
22.0,tous sexes,70120,2016,5.937,CAN_AUT_CAT,78,11,Autres cancers,de 65 à 69 ans,4160,9,Cancers,2,65-69,
22.0,tous sexes,69700,2016,5.732,CAN_AUT_CAT,92,11,Autres cancers,de 65 à 69 ans,4000,9,Cancers,2,65-69,
22.0,tous sexes,64040,2016,5.748,CAN_AUT_CAT,93,11,Autres cancers,de 65 à 69 ans,3680,9,Cancers,2,65-69,
22.0,tous sexes,55420,2016,5.734,CAN_AUT_CAT,95,11,Autres cancers,de 65 à 69 ans,3180,9,Cancers,2,65-69,
22.0,femmes,26460,2016,7.059,CAN_AUT_CAT,78,11,Autres cancers,de 70 à 74 ans,1870,2,Cancers,2,70-74,
22.0,femmes,23150,2016,6.652,CAN_AUT_CAT,94,11,Autres cancers,de 70 à 74 ans,1540,2,Cancers,2,70-74,
22.0,femmes,18750,2016,5.925,CAN_AUT_CAT,95,11,Autres cancers,de 70 à 74 ans,1110,2,Cancers,2,70-74,
22.0,tous sexes,84620,2016,7.969,CAN_AUT_CAT,75,11,Autres cancers,de 70 à 74 ans,6740,9,Cancers,2,70-74,
22.0,tous sexes,43470,2016,7.98,CAN_AUT_CAT,77,11,Autres cancers,de 70 à 74 ans,3470,9,Cancers,2,70-74,
22.0,tous sexes,42190,2016,8.384,CAN_AUT_CAT,91,11,Autres cancers,de 70 à 74 ans,3540,9,Cancers,2,70-74,
22.0,tous sexes,42350,2016,7.396,CAN_AUT_CAT,93,11,Autres cancers,de 70 à 74 ans,3130,9,Cancers,2,70-74,
22.0,tous sexes,43590,2016,7.672,CAN_AUT_CAT,94,11,Autres cancers,de 70 à 74 ans,3340,9,Cancers,2,70-74,
22.0,tous sexes,36390,2016,7.384,CAN_AUT_CAT,95,11,Autres cancers,de 70 à 74 ans,2690,9,Cancers,2,70-74,
22.0,tous sexes,395610,2016,7.874,CAN_AUT_CAT,999,11,Autres cancers,de 70 à 74 ans,31150,9,Cancers,2,70-74,
22.0,hommes,26650,2016,11.334,CAN_AUT_CAT,75,11,Autres cancers,de 75 à 79 ans,3020,1,Cancers,2,75-79,
22.0,hommes,14550,2016,12.417,CAN_AUT_CAT,91,11,Autres cancers,de 75 à 79 ans,1810,1,Cancers,2,75-79,
22.0,hommes,17510,2016,11.123,CAN_AUT_CAT,92,11,Autres cancers,de 75 à 79 ans,1950,1,Cancers,2,75-79,
